Tasks: 885 total,   7 running, 878 sleeping,   0 stopped,   0 zombie
  Mem:  3754184K total,  3669424K used,    84760K free,     1752K buffers
 Swap:  8388604K total,  1717148K used,  6671456K free,   657376K cached
800%cpu 181%user   3%nice 200%sys 384%idle   3%iow  25%irq   3%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
15212 root         20   0    0    0    0 I  0.0   0.0   0:00.04 [kworker/7:1-kdmflush/254:63]
15143 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/0:1-pm]
15127 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/4:1-pm]
15126 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/3:3-pm]
15046 root         20   0    0    0    0 I  0.0   0.0   0:00.05 [kworker/1:1-events]
15045 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/2:1-pm]
15038 root         20   0    0    0    0 I  0.0   0.0   0:00.15 [kworker/3:1-pm]
15037 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/4:0-pm]
14854 root         20   0    0    0    0 I  0.0   0.0   0:00.07 [kworker/6:8-events_freezable_pwr_efficient]
14846 root         20   0    0    0    0 I  0.0   0.0   0:00.09 [kworker/5:0-pm]
14671 u0_a112      20   0 9.2G  54M  40M S  0.0   1.4   0:01.41 com.samsung.android.app.contacts
14558 root          0 -20    0    0    0 I  0.0   0.0   0:00.02 [kworker/7:3H-kverityd]
14543 root          0 -20    0    0    0 I  0.0   0.0   0:00.27 [kworker/5:0H-kverityd]
14505 u0_a55       20   0 9.1G  59M  43M S  0.0   1.6   0:02.51 android.process.acore
14480 root          0 -20    0    0    0 I  0.0   0.0   0:00.03 [kworker/7:2H-kblockd]
14416 root          0 -20    0    0    0 I  0.0   0.0   0:00.07 [kworker/6:0H-kverityd]
14062 root          0 -20    0    0    0 I  0.0   0.0   0:00.18 [kworker/7:0H-kverityd]
13272 root         20   0    0    0    0 I  0.0   0.0   0:01.01 [kworker/u32:20-async]
13213 u0_a269      20   0 8.9G  63M  48M S  0.0   1.7   0:05.21 com.dti.amx
13161 root          0 -20    0    0    0 I  0.0   0.0   0:00.12 [kworker/4:4H-fsverity_read_queue]
13000 system       20   0 8.3G  61M  46M S  0.0   1.6   0:01.53 com.samsung.android.fmm
12999 root         20   0    0    0    0 I  0.0   0.0   0:01.34 [kworker/u32:18-async]
12960 root         20   0    0    0    0 I  0.0   0.0   0:00.03 [kworker/0:0-pm]
